Date,Segment_id,x,y,Evapotranspiration,Precipitation,Irrigation_pumping,Observed
723271,40,1798990,14561280,1.7,18.82,0.0,15.523360999999998
724550,170,1270990,14714400,4.34,20.84,0.0,35.744262
717853,65,838030,14556000,4.51,21.06,-0.09954500000000001,3.5722131
725342,56,1170670,14582400,0.0,0.0,0.0,5.37
717580,55,1133710,14619360,5.76,18.34,-0.27065,1.5918852
725311,59,874990,14556000,1.14,16.02,0.0,12.2968033
711097,55,1133710,14619360,1.08,28.13,0.0,0.30887097
723394,96,806350,14550720,9.97,21.4,-0.34014,1.65296936
727868,96,806350,14550720,0.54,19.99,-0.0053844999999999995,7.7717407000000005
722754,135,1223470,14761920,0.95,23.17,-0.018461,3.9698361000000006
730241,145,1207630,14460960,0.0,0.0,0.0,1.813114754
728142,146,1329070,14445120,0.0,0.0,0.0,6.81
720380,178,927790,14540160,6.06,23.92,0.0,8.329692999999999
729906,170,1270990,14714400,9.07,17.41,-0.23305,45.489344
726803,135,1223470,14761920,0.28,18.55,-0.021537999999999998,4.48
728780,170,1270990,14714400,2.25,24.06,0.0,53.7967213
710306,194,970030,14571840,3.95,26.48,0.0,60.04918000000001
713228,136,1191790,14767200,2.66,17.51,0.0,17.3016393
716423,98,721870,14387040,0.0,0.0,0.0,0.867540984
718522,147,906670,14693280,6.43,22.05,0.0,59.33360699999999
720410,171,1508590,14524320,6.64,20.97,-0.10432000000000001,1.6672131000000001
716941,147,906670,14693280,0.67,26.85,0.0,76.3209677
708661,53,1049230,14666880,3.04,15.43,0.0,116.72868899999999
723241,56,1170670,14582400,0.0,0.0,0.0,5.575166667
708509,239,1630030,14550720,1.22,17.5,0.0,116.360656
722936,40,1798990,14561280,4.51,33.27,0.0,15.85377
728749,170,1270990,14714400,2.01,24.06,0.0,55.6967213
711217,189,1392430,14571840,0.0,0.0,0.0,9.772881356000001
727746,147,906670,14693280,6.56,17.05,-1.0335,14.81311475
717976,59,874990,14556000,1.89,24.44,0.0,14.9163934
719102,188,927790,14550720,0.95,16.45,-0.012306999999999998,76.93770490000001
719102,170,1270990,14714400,0.95,17.16,0.0,48.2836066
724277,65,838030,14556000,0.71,16.22,0.0,7.23741935
722632,196,1482190,14577120,0.0,0.0,0.0,0.0
726316,51,1154830,14413440,0.0,0.0,0.0,0.0
713958,135,1223470,14761920,1.15,16.6,-0.0092305,5.4419672
724001,59,874990,14556000,3.4,20.07,0.0,10.91778689
710457,96,806350,14550720,1.98,19.99,0.0,8.2135423
712132,189,1392430,14571840,0.0,0.0,0.0,10.7
715084,65,838030,14556000,1.83,19.61,0.0,7.509262295
715814,149,1387150,14640480,1.15,18.51,-0.0079998,4.568032787
725888,60,1144270,14677440,7.24,21.46,-0.11925,13.9818033
718006,130,785230,14566560,1.47,21.06,0.0,64.53114754
721720,189,1392430,14571840,0.0,0.0,0.0,0.8
712071,159,1218190,14614080,6.2,24.71,-0.0057404,20.15
712709,130,785230,14566560,5.43,20.07,0.0,64.8360656
723697,56,1170670,14582400,0.0,0.0,0.0,4.530163934
716301,147,906670,14693280,1.34,17.11,0.0,71.53559320000001
721720,56,1170670,14582400,0.0,0.0,0.0,6.295
725888,64,1645870,14566560,6.9,35.7,-0.2431,5.9154098
712954,62,1603630,14556000,0.6,16.25,0.0,15.0729032
722875,135,1223470,14761920,0.39,21.16,-0.018461,5.532033900000001
712101,65,838030,14556000,6.93,24.47,0.0,7.0237705
715296,98,721870,14387040,0.0,0.0,0.0,1.170163934
715054,171,1381870,14460960,0.0,0.0,0.0,4.7
718614,130,785230,14566560,7.62,16.29,-0.09383999999999999,53.17049179999999
725676,170,1270990,14714400,1.01,21.8,0.0,40.7221311
712344,55,1133710,14619360,3.77,19.0,0.0,0.75540984
716392,149,1387150,14640480,8.54,20.42,-0.08622,6.1535246
722785,178,927790,14540160,0.57,14.75,0.0,-4.0725806
715966,189,1392430,14571840,0.0,0.0,0.0,1.0
714597,59,874990,14556000,9.64,12.16,-1.1059,11.938196699999999
719011,60,1144270,14677440,5.05,22.09,-0.23975,13.757376999999998
727868,59,874990,14556000,0.77,18.01,0.0,9.4104918
718371,55,1133710,14619360,1.17,20.48,0.0,1.9414754
710610,256,1941550,14524320,7.73,28.3,0.0,276.91803
720441,98,721870,14387040,0.0,0.0,0.0,0.541803279
712405,62,1603630,14556000,1.88,21.97,-0.0047582,9.888032800000001
716058,189,1392430,14571840,0.0,0.0,0.0,1.245901639
713774,152,1392430,14545440,0.0,0.0,0.0,1.992542373
712678,144,1086190,14476800,2.5,24.91,0.0,8.4262295
711128,59,874990,14556000,0.8,20.35,0.0,13.7829032
723940,65,838030,14556000,1.0,25.44,0.0,7.10161017
711066,144,1086190,14476800,0.0,29.63,0.0,7.8181148
728963,56,1170670,14582400,0.0,0.0,0.0,4.420491803
712589,65,838030,14556000,0.66,20.07,0.0,9.69451613
724702,59,874990,14556000,0.4,18.12,0.0,11.765999999999998
711614,256,1941550,14524320,6.92,20.06,0.0,386.081967
709756,189,1392430,14571840,0.0,0.0,0.0,8.383050847
718188,170,1270990,14714400,9.92,18.92,0.0,51.9721311
712436,170,1270990,14714400,6.34,20.73,-0.09250599999999999,46.24262295
720775,170,1270990,14714400,9.35,22.3,-0.25835,53.22786899999999
722632,149,1387150,14640480,9.49,21.11,-1.0424,4.268032787
724185,135,1223470,14761920,2.54,21.01,-0.021537999999999998,4.2070492
710245,186,1313230,14640480,8.18,18.4,0.0,44.2967213
713197,56,1170670,14582400,0.0,0.0,0.0,0.513278689
716362,145,1207630,14460960,0.0,0.0,0.0,0.339344262
726772,40,1798990,14561280,1.36,23.36,0.0,11.8086066
722420,65,838030,14556000,0.97,18.82,0.0,7.2140323
713409,171,1381870,14460960,0.0,0.0,0.0,7.96779661
712224,59,874990,14556000,0.69,13.72,0.0,15.001935500000002
718280,65,838030,14556000,7.67,22.53,-0.19735999999999998,4.5016393
715661,147,906670,14693280,8.19,18.71,-0.041644,55.8844262
720441,147,906670,14693280,8.25,20.47,-0.62383,51.242622999999995
714840,171,1381870,14460960,0.0,0.0,0.0,0.0
719253,196,1482190,14577120,0.0,0.0,0.0,7.538983051000001
725738,147,906670,14693280,0.85,21.67,0.0,31.929032300000003
728323,135,1223470,14761920,0.36,23.1,-0.024615,6.908559299999999
718522,96,806350,14550720,4.9,16.29,0.0,14.454398000000001
727349,51,1154830,14413440,0.0,0.0,0.0,0.0
719284,56,1170670,14582400,0.0,0.0,0.0,3.4788524589999996
711401,152,1392430,14545440,0.0,0.0,0.0,0.6
727989,64,1645870,14566560,0.5,37.45,-0.0090906,6.636101700000001
727046,135,1223470,14761920,7.19,17.7,-0.7427600000000001,2.0454098000000003
714109,189,1392430,14571840,0.0,0.0,0.0,0.474576271
712617,56,1170670,14582400,0.0,0.0,0.0,0.35951612899999996
716089,96,806350,14550720,10.68,17.27,-0.22235,0.42471172
726954,60,1144270,14677440,3.62,16.41,0.0,15.6534426
728264,59,874990,14556000,1.73,20.36,0.0,11.0
720837,171,1508590,14524320,7.76,32.16,-0.65212,1.4704918
711736,239,1630030,14550720,5.44,19.65,-0.036772000000000006,110.5655738
728323,96,806350,14550720,0.77,19.29,-0.0053844999999999995,15.195504000000001
723302,130,785230,14566560,4.91,21.4,0.0,47.232787
709879,186,1313230,14640480,8.61,27.3,0.0,30.2311475
726497,59,874990,14556000,0.57,13.89,0.0,10.7010169
712617,130,785230,14566560,0.48,20.07,0.0,61.462711899999995
728445,146,1329070,14445120,0.0,0.0,0.0,5.105737705
714231,189,1392430,14571840,0.0,0.0,0.0,0.254098361
717580,171,1381870,14460960,0.0,0.0,0.0,0.914754098
724154,138,1434670,14624640,6.53,24.79,-0.22830999999999999,2.9227868999999997
726377,188,927790,14550720,3.22,24.63,-0.018461,54.849180000000004
719953,96,806350,14550720,1.25,16.3,0.0,7.6801193
710214,59,874990,14556000,5.54,22.59,0.0,11.87180328
728719,138,1434670,14624640,0.72,24.03,0.0,12.590339
710457,53,1049230,14666880,2.3,17.99,0.0,145.22203000000002
716454,98,721870,14387040,0.0,0.0,0.0,0.4
714719,149,1387150,14640480,1.09,12.74,-0.0079998,2.7036884999999997
718433,154,1138990,14497920,0.78,18.79,-0.011344,3.783871
725008,64,1645870,14566560,0.14,28.87,-0.0090906,6.36
719437,130,785230,14566560,0.05,16.31,0.0,60.452459
715449,59,874990,14556000,1.0,26.42,0.0,14.876393400000001
717672,147,906670,14693280,0.99,14.36,0.0,66.7532258
712101,196,1482190,14577120,0.0,0.0,0.0,9.659016393
716484,171,1381870,14460960,0.0,0.0,0.0,2.521311475
728323,170,1270990,14714400,0.36,24.16,0.0,63.67966102
721444,170,1270990,14714400,1.7,27.38,0.0,54.90983610000001
730637,60,1144270,14677440,8.74,19.7,-0.16416,8.968032800000001
713866,152,1392430,14545440,0.0,0.0,0.0,0.40655737700000005
710518,205,1128430,14614080,6.63,19.79,0.0,102.786885
720959,51,1154830,14413440,0.0,0.0,0.0,0.0
729085,130,785230,14566560,1.01,19.87,0.0,44.726667
711156,144,1086190,14476800,0.81,18.89,0.0,8.9461864
718645,188,927790,14550720,7.93,22.37,-0.36018,66.401639
724336,135,1223470,14761920,0.35,20.32,-0.021537999999999998,5.632372900000001
728933,130,785230,14566560,4.79,20.07,0.0,43.5016393
714200,97,727150,14402880,6.32,11.33,-0.1154,15.3172131
715296,171,1508590,14524320,8.2,24.02,-0.0089588,6.5868852
730637,196,1482190,14577120,0.0,0.0,0.0,3.570491803
728050,196,1482190,14577120,0.0,0.0,0.0,2.8475409839999997
714566,176,790510,14424000,9.88,12.16,-0.19972,2.6010739
728080,130,785230,14566560,8.25,18.53,-0.19908,44.3286885
714536,63,1619470,14556000,7.38,14.4,0.0,4.686721299999999
722632,146,1329070,14445120,0.0,0.0,0.0,1.016393443
715296,171,1381870,14460960,0.0,0.0,0.0,6.681967212999999
728933,148,1703950,14561280,4.11,28.06,-0.015,15.686885199999999
724824,149,1387150,14640480,8.58,24.15,-0.8438399999999999,7.6314754
729572,171,1508590,14524320,8.11,0.0,-1.0983,11.24918
710153,147,906670,14693280,5.88,21.5,0.0,59.806557
729268,144,1086190,14476800,3.11,25.14,-0.15041,6.76311475
723302,65,838030,14556000,4.91,21.4,0.0,7.210163900000001
722905,40,1798990,14561280,1.58,33.27,0.0,16.718770000000003
713075,55,1133710,14619360,5.63,17.51,0.0,0.64360656
716331,171,1508590,14524320,4.0,29.67,0.0,4.2139344
